age,qimd,mean.effect,uci
0,1,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,-0.28,-0.22
17,1,-0.28,-0.22
18,1,-0.28,-0.22
19,1,-0.28,-0.22
20,1,-0.28,-0.22
21,1,-0.28,-0.22
22,1,-0.28,-0.22
23,1,-0.28,-0.22
24,1,-0.28,-0.22
25,1,-0.28,-0.22
26,1,-0.28,-0.22
27,1,-0.28,-0.22
28,1,-0.28,-0.22
29,1,-0.28,-0.22
30,1,-0.08,-0.05
31,1,-0.08,-0.05
32,1,-0.08,-0.05
33,1,-0.08,-0.05
34,1,-0.08,-0.05
35,1,-0.08,-0.05
36,1,-0.08,-0.05
37,1,-0.08,-0.05
38,1,-0.08,-0.05
39,1,-0.08,-0.05
40,1,-0.08,-0.05
41,1,-0.08,-0.05
42,1,-0.08,-0.05
43,1,-0.08,-0.05
44,1,-0.08,-0.05
45,1,-0.08,-0.05
46,1,-0.08,-0.05
47,1,-0.08,-0.05
48,1,-0.08,-0.05
49,1,-0.08,-0.05
50,1,-0.02,-0.05
51,1,-0.02,-0.05
52,1,-0.02,-0.05
53,1,-0.02,-0.05
54,1,-0.02,-0.05
55,1,-0.02,-0.05
56,1,-0.02,-0.05
57,1,-0.02,-0.05
58,1,-0.02,-0.05
59,1,-0.02,-0.05
60,1,-0.02,-0.05
61,1,-0.02,-0.05
62,1,-0.02,-0.05
63,1,-0.02,-0.05
64,1,-0.02,-0.05
65,1,-0.02,-0.05
66,1,-0.02,-0.05
67,1,-0.02,-0.05
68,1,-0.02,-0.05
69,1,-0.02,-0.05
70,1,-0.02,-0.05
71,1,-0.02,-0.05
72,1,-0.02,-0.05
73,1,-0.02,-0.05
74,1,-0.02,-0.05
75,1,-0.02,-0.05
76,1,-0.02,-0.05
77,1,-0.02,-0.05
78,1,-0.02,-0.05
79,1,-0.02,-0.05
80,1,-0.02,-0.05
81,1,-0.02,-0.05
82,1,-0.02,-0.05
83,1,-0.02,-0.05
84,1,-0.02,-0.05
85,1,-0.02,-0.05
86,1,-0.02,-0.05
87,1,-0.02,-0.05
88,1,-0.02,-0.05
89,1,-0.02,-0.05
90,1,-0.02,-0.05
91,1,-0.02,-0.05
92,1,-0.02,-0.05
93,1,-0.02,-0.05
94,1,-0.02,-0.05
95,1,-0.02,-0.05
96,1,-0.02,-0.05
97,1,-0.02,-0.05
98,1,-0.02,-0.05
99,1,-0.02,-0.05
100,1,-0.02,-0.05
0,2,0,0
1,2,0,0
2,2,0,0
3,2,0,0
4,2,0,0
5,2,0,0
6,2,0,0
7,2,0,0
8,2,0,0
9,2,0,0
10,2,0,0
11,2,0,0
12,2,0,0
13,2,0,0
14,2,0,0
15,2,0,0
16,2,-0.22,-0.17
17,2,-0.22,-0.17
18,2,-0.22,-0.17
19,2,-0.22,-0.17
20,2,-0.22,-0.17
21,2,-0.22,-0.17
22,2,-0.22,-0.17
23,2,-0.22,-0.17
24,2,-0.22,-0.17
25,2,-0.22,-0.17
26,2,-0.22,-0.17
27,2,-0.22,-0.17
28,2,-0.22,-0.17
29,2,-0.22,-0.17
30,2,-0.05,-0.02
31,2,-0.05,-0.02
32,2,-0.05,-0.02
33,2,-0.05,-0.02
34,2,-0.05,-0.02
35,2,-0.05,-0.02
36,2,-0.05,-0.02
37,2,-0.05,-0.02
38,2,-0.05,-0.02
39,2,-0.05,-0.02
40,2,-0.05,-0.02
41,2,-0.05,-0.02
42,2,-0.05,-0.02
43,2,-0.05,-0.02
44,2,-0.05,-0.02
45,2,-0.05,-0.02
46,2,-0.05,-0.02
47,2,-0.05,-0.02
48,2,-0.05,-0.02
49,2,-0.05,-0.02
50,2,0.03,0.07
51,2,0.03,0.07
52,2,0.03,0.07
53,2,0.03,0.07
54,2,0.03,0.07
55,2,0.03,0.07
56,2,0.03,0.07
57,2,0.03,0.07
58,2,0.03,0.07
59,2,0.03,0.07
60,2,0.03,0.07
61,2,0.03,0.07
62,2,0.03,0.07
63,2,0.03,0.07
64,2,0.03,0.07
65,2,0.03,0.07
66,2,0.03,0.07
67,2,0.03,0.07
68,2,0.03,0.07
69,2,0.03,0.07
70,2,0.03,0.07
71,2,0.03,0.07
72,2,0.03,0.07
73,2,0.03,0.07
74,2,0.03,0.07
75,2,0.03,0.07
76,2,0.03,0.07
77,2,0.03,0.07
78,2,0.03,0.07
79,2,0.03,0.07
80,2,0.03,0.07
81,2,0.03,0.07
82,2,0.03,0.07
83,2,0.03,0.07
84,2,0.03,0.07
85,2,0.03,0.07
86,2,0.03,0.07
87,2,0.03,0.07
88,2,0.03,0.07
89,2,0.03,0.07
90,2,0.03,0.07
91,2,0.03,0.07
92,2,0.03,0.07
93,2,0.03,0.07
94,2,0.03,0.07
95,2,0.03,0.07
96,2,0.03,0.07
97,2,0.03,0.07
98,2,0.03,0.07
99,2,0.03,0.07
100,2,0.03,0.07
0,3,0,0
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0
5,3,0,0
6,3,0,0
7,3,0,0
8,3,0,0
9,3,0,0
10,3,0,0
11,3,0,0
12,3,0,0
13,3,0,0
14,3,0,0
15,3,0,0
16,3,-0.22,-0.17
17,3,-0.22,-0.17
18,3,-0.22,-0.17
19,3,-0.22,-0.17
20,3,-0.22,-0.17
21,3,-0.22,-0.17
22,3,-0.22,-0.17
23,3,-0.22,-0.17
24,3,-0.22,-0.17
25,3,-0.22,-0.17
26,3,-0.22,-0.17
27,3,-0.22,-0.17
28,3,-0.22,-0.17
29,3,-0.22,-0.17
30,3,-0.05,-0.02
31,3,-0.05,-0.02
32,3,-0.05,-0.02
33,3,-0.05,-0.02
34,3,-0.05,-0.02
35,3,-0.05,-0.02
36,3,-0.05,-0.02
37,3,-0.05,-0.02
38,3,-0.05,-0.02
39,3,-0.05,-0.02
40,3,-0.05,-0.02
41,3,-0.05,-0.02
42,3,-0.05,-0.02
43,3,-0.05,-0.02
44,3,-0.05,-0.02
45,3,-0.05,-0.02
46,3,-0.05,-0.02
47,3,-0.05,-0.02
48,3,-0.05,-0.02
49,3,-0.05,-0.02
50,3,0.03,0.07
51,3,0.03,0.07
52,3,0.03,0.07
53,3,0.03,0.07
54,3,0.03,0.07
55,3,0.03,0.07
56,3,0.03,0.07
57,3,0.03,0.07
58,3,0.03,0.07
59,3,0.03,0.07
60,3,0.03,0.07
61,3,0.03,0.07
62,3,0.03,0.07
63,3,0.03,0.07
64,3,0.03,0.07
65,3,0.03,0.07
66,3,0.03,0.07
67,3,0.03,0.07
68,3,0.03,0.07
69,3,0.03,0.07
70,3,0.03,0.07
71,3,0.03,0.07
72,3,0.03,0.07
73,3,0.03,0.07
74,3,0.03,0.07
75,3,0.03,0.07
76,3,0.03,0.07
77,3,0.03,0.07
78,3,0.03,0.07
79,3,0.03,0.07
80,3,0.03,0.07
81,3,0.03,0.07
82,3,0.03,0.07
83,3,0.03,0.07
84,3,0.03,0.07
85,3,0.03,0.07
86,3,0.03,0.07
87,3,0.03,0.07
88,3,0.03,0.07
89,3,0.03,0.07
90,3,0.03,0.07
91,3,0.03,0.07
92,3,0.03,0.07
93,3,0.03,0.07
94,3,0.03,0.07
95,3,0.03,0.07
96,3,0.03,0.07
97,3,0.03,0.07
98,3,0.03,0.07
99,3,0.03,0.07
100,3,0.03,0.07
0,4,0,0
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0
5,4,0,0
6,4,0,0
7,4,0,0
8,4,0,0
9,4,0,0
10,4,0,0
11,4,0,0
12,4,0,0
13,4,0,0
14,4,0,0
15,4,0,0
16,4,-0.22,-0.17
17,4,-0.22,-0.17
18,4,-0.22,-0.17
19,4,-0.22,-0.17
20,4,-0.22,-0.17
21,4,-0.22,-0.17
22,4,-0.22,-0.17
23,4,-0.22,-0.17
24,4,-0.22,-0.17
25,4,-0.22,-0.17
26,4,-0.22,-0.17
27,4,-0.22,-0.17
28,4,-0.22,-0.17
29,4,-0.22,-0.17
30,4,-0.05,-0.02
31,4,-0.05,-0.02
32,4,-0.05,-0.02
33,4,-0.05,-0.02
34,4,-0.05,-0.02
35,4,-0.05,-0.02
36,4,-0.05,-0.02
37,4,-0.05,-0.02
38,4,-0.05,-0.02
39,4,-0.05,-0.02
40,4,-0.05,-0.02
41,4,-0.05,-0.02
42,4,-0.05,-0.02
43,4,-0.05,-0.02
44,4,-0.05,-0.02
45,4,-0.05,-0.02
46,4,-0.05,-0.02
47,4,-0.05,-0.02
48,4,-0.05,-0.02
49,4,-0.05,-0.02
50,4,0.03,0.07
51,4,0.03,0.07
52,4,0.03,0.07
53,4,0.03,0.07
54,4,0.03,0.07
55,4,0.03,0.07
56,4,0.03,0.07
57,4,0.03,0.07
58,4,0.03,0.07
59,4,0.03,0.07
60,4,0.03,0.07
61,4,0.03,0.07
62,4,0.03,0.07
63,4,0.03,0.07
64,4,0.03,0.07
65,4,0.03,0.07
66,4,0.03,0.07
67,4,0.03,0.07
68,4,0.03,0.07
69,4,0.03,0.07
70,4,0.03,0.07
71,4,0.03,0.07
72,4,0.03,0.07
73,4,0.03,0.07
74,4,0.03,0.07
75,4,0.03,0.07
76,4,0.03,0.07
77,4,0.03,0.07
78,4,0.03,0.07
79,4,0.03,0.07
80,4,0.03,0.07
81,4,0.03,0.07
82,4,0.03,0.07
83,4,0.03,0.07
84,4,0.03,0.07
85,4,0.03,0.07
86,4,0.03,0.07
87,4,0.03,0.07
88,4,0.03,0.07
89,4,0.03,0.07
90,4,0.03,0.07
91,4,0.03,0.07
92,4,0.03,0.07
93,4,0.03,0.07
94,4,0.03,0.07
95,4,0.03,0.07
96,4,0.03,0.07
97,4,0.03,0.07
98,4,0.03,0.07
99,4,0.03,0.07
100,4,0.03,0.07
0,5,0,0
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0
5,5,0,0
6,5,0,0
7,5,0,0
8,5,0,0
9,5,0,0
10,5,0,0
11,5,0,0
12,5,0,0
13,5,0,0
14,5,0,0
15,5,0,0
16,5,-0.24,-0.17
17,5,-0.24,-0.17
18,5,-0.24,-0.17
19,5,-0.24,-0.17
20,5,-0.24,-0.17
21,5,-0.24,-0.17
22,5,-0.24,-0.17
23,5,-0.24,-0.17
24,5,-0.24,-0.17
25,5,-0.24,-0.17
26,5,-0.24,-0.17
27,5,-0.24,-0.17
28,5,-0.24,-0.17
29,5,-0.24,-0.17
30,5,-0.06,-0.01
31,5,-0.06,-0.01
32,5,-0.06,-0.01
33,5,-0.06,-0.01
34,5,-0.06,-0.01
35,5,-0.06,-0.01
36,5,-0.06,-0.01
37,5,-0.06,-0.01
38,5,-0.06,-0.01
39,5,-0.06,-0.01
40,5,-0.06,-0.01
41,5,-0.06,-0.01
42,5,-0.06,-0.01
43,5,-0.06,-0.01
44,5,-0.06,-0.01
45,5,-0.06,-0.01
46,5,-0.06,-0.01
47,5,-0.06,-0.01
48,5,-0.06,-0.01
49,5,-0.06,-0.01
50,5,0,0.04
51,5,0,0.04
52,5,0,0.04
53,5,0,0.04
54,5,0,0.04
55,5,0,0.04
56,5,0,0.04
57,5,0,0.04
58,5,0,0.04
59,5,0,0.04
60,5,0,0.04
61,5,0,0.04
62,5,0,0.04
63,5,0,0.04
64,5,0,0.04
65,5,0,0.04
66,5,0,0.04
67,5,0,0.04
68,5,0,0.04
69,5,0,0.04
70,5,0,0.04
71,5,0,0.04
72,5,0,0.04
73,5,0,0.04
74,5,0,0.04
75,5,0,0.04
76,5,0,0.04
77,5,0,0.04
78,5,0,0.04
79,5,0,0.04
80,5,0,0.04
81,5,0,0.04
82,5,0,0.04
83,5,0,0.04
84,5,0,0.04
85,5,0,0.04
86,5,0,0.04
87,5,0,0.04
88,5,0,0.04
89,5,0,0.04
90,5,0,0.04
91,5,0,0.04
92,5,0,0.04
93,5,0,0.04
94,5,0,0.04
95,5,0,0.04
96,5,0,0.04
97,5,0,0.04
98,5,0,0.04
99,5,0,0.04
100,5,0,0.04